Verkaufsstellennr.;Name 1;Name 2;Name 3;Strasse;PLZ;Ort;Adresszusatz;Typ;Öffnungszeiten Montag 1;Öffnungszeiten Montag 2;Öffnungszeiten Montag 3;Öffnungszeiten Dienstag 1;Öffnungszeiten Dienstag 2;Öffnungszeiten Dienstag 3;Öffnungszeiten Mittwoch 1;Öffnungszeiten Mittwoch 2;Öffnungszeiten Mittwoch 3;Öffnungszeiten Donnerstag 1;Öffnungszeiten Donnerstag 2;Öffnungszeiten Donnerstag 3;Öffnungszeiten Freitag 1;Öffnungszeiten Freitag 2;Öffnungszeiten Freitag 3;Öffnungszeiten Samstag 1;Öffnungszeiten Samstag 2;Öffnungszeiten Samstag 3;Öffnungszeiten Sonntag 1;Öffnungszeiten Sonntag 2;Öffnungszeiten Sonntag 3;Koord_Lat;Koord_Lon;Lat;Lon
504613;Reisezentrum Cochem (Mosel);;;Bahnhofsplatz 1;56812;Cochem(Mosel);;Reisezentrum;06:00-11:00;12:00-16:00;;08:00-13:00;14:00-16:00;;08:00-13:00;14:00-16:00;;09:00-13:00;14:00-19:00;;08:00-13:00;14:00-16:00;;08:00-12:00;;;;;;50152931;7167486;50.152931;7.167486
503722;Reisezentrum Darmstadt Hbf;;;Am Hauptbahnhof 20;64293;Darmstadt;;Reisezentrum;06:00-19:00;;;07:00-19:00;;;07:00-19:00;;;07:00-19:00;;;07:00-19:00;;;08:00-16:00;;;09:00-17:00;;;49872297;8631253;49.872297;8.631253
510446;Reisezentrum Dillingen (Saar);;;Berckheimstraße 1;66763;Dillingen (Saar);;Reisezentrum;06:00-10:30;11:30-16:00;;09:30-13:30;14:30-19:00;;08:30-12:30;13:30-16:00;;08:30-12:30;13:30-16:00;;08:30-12:30;13:30-16:00;;08:00-12:00;;;;;;49351003;6724614;49.351003;6.724614
503623;Reisezentrum Frankenthal;;;Eisenbahnstraße 3;67227;Frankenthal;;Reisezentrum;06:00-20:00;;;06:00-20:00;;;06:00-20:00;;;06:00-20:00;;;07:00-18:00;;;08:00-11:30;12:00-16:00;;09:30-15:00;;;49536109;8350421;49.536109;8.350421
503557;Reisezentrum Frankfurt (M) Flughafen;;;Hugo-Eckener-Ring;60549;Frankfurt am Main;;Reisezentrum;06:00-21:00;;;06:00-21:00;;;06:00-21:00;;;06:00-21:00;;;06:00-21:00;;;06:00-21:00;;;06:00-21:00;;;50050491;8571513;50.050491;8.571513
503656;Reisezentrum Frankfurt (Main) Hbf;;;Im Hauptbahnhof ;60329;Frankfurt am Main;;Reisezentrum;06:00-22:00;;;06:00-22:00;;;06:00-22:00;;;06:00-22:00;;;06:00-22:00;;;07:00-20:00;;;08:00-21:00;;;50107652;8664450;50.107652;8.66445
503672;Reisezentrum Frankfurt (Main) Süd;;;Diesterwegplatz;60594;Frankfurt am Main;;Reisezentrum;06:00-19:15;;;06:00-19:15;;;06:00-19:15;;;06:00-19:15;;;06:00-19:15;;;08:00-13:30;;;;;;50100101;8685305;50.100101;8.685305
503664;Reisezentrum Frankfurt-Galluswarte;;;Mainzer Landstraße 232;60327;Frankfurt am Main;;Reisezentrum;07:30-11:30;12:15-17:15;;07:30-11:30;12:00-15:15;;08:00-11:30;12:00-15:15;;08:00-11:30;12:00-15:15;;08:00-11:30;12:15-15:15;;;;;;;;50103613;8644998;50.103613;8.644998
503565;Reisezentrum Frankfurt-Höchst;;;Dalbergstraße;65929;Frankfurt am Main;im Bahnhof Höchst;Reisezentrum;06:30-18:30;;;08:30-18:30;;;08:30-18:30;;;08:30-18:30;;;08:30-18:30;;;08:30-14:00;;;;;;50102025;8543761;50.102025;8.543761
506402;Reisezentrum Frankfurt-Rödelheim;;;Baruch-Baschwitz-Platz 1;60489;Frankfurt am Main;;Reisezentrum;07:45-11:30;12:15-17:00;;07:45-11:30;12:15-15:00;;07:45-11:30;12:15-15:00;;07:45-11:30;12:15-15:00;;07:45-11:30;12:15-15:00;;;;;;;;50124588;8607728;50.124588;8.607728
